Contact Form 7;Ещё один плагин контактных форм. Простой, но гибкий.;6.4.1
Elementor Website Builder — More than Just a Page Builder;В конструкторе сайтов Elementor есть всё: визуальный конструктор страниц работающий на принципе перетащи и вставь,…;6.4.1
Yoast SEO;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью…;6.4.1
Classic Editor;Включает предыдущую «классическую» версию редактора и экран редактирования записей в старом стиле, с TinyMCE, полями…;6.4.1
WooCommerce;Всё, что вам нужно, чтобы запустить интернет-магазин за считанные дни и поддерживать его рост в…;6.4.1
Akismet Anti-Spam: Spam Protection;Лучшая защита от спама для блокировки спам-комментариев и спама в контактной форме. Самое надежное решение…;6.4.1
Контактная форма WPForms — конструктор форм для WordPress с возможностью перетаскивания элементов;Лучший плагин контактных форм для WordPress. Удобный онлайн-конструктор с функцией перетаскивания, позволяющий создавать красивые контактные…;6.3.2
All-in-One WP Migration;Перемещение, перенос, копирование, миграция и резервное копирование сайта одним щелчком мыши. Быстро, просто и надежно.;6.4.1
Really Simple SSL;Самый простой способ повысить безопасность! Используйте свой SSL-сертификат и защитите посетителей своего сайта.;6.4.1
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;Укрепите защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования, WAF и проверки…;6.4.1
Wordfence Security — Firewall, Malware Scan, and Login Security;Брандмауэр, сканер вредоносных программ, двухфакторный аутентификатор и комплексные функции безопасности, поддерживаемые нашей круглосуточной командой. Сделайте…;6.4.1
LiteSpeed Cache;Все в одном — непревзойденное ускорение и улучшение скорости страницы: кэширование, оптимизация изображений/CSS/JS…;6.3.2
Yoast Duplicate Post;Надежный инструмент для клонирования записей и страниц, включая мощную функцию перезаписи и повторной публикации.;6.4.1
Site Kit by Google — Analytics, Search Console, AdSense, Speed;Site Kit — это универсальное решение для пользователей WordPress, позволяющее использовать все, что Google может…;6.4.1
UpdraftPlus: WordPress Backup & Migration Plugin;Backup, restoration and migration — world's most popular backup tool. Backup to the cloud -…;6.4.1
WordPress Importer;Импорт записей, страниц, комментариев, произвольных полей, рубрик, меток и многого другого из файла экспорта WordPress.;6.2.3
WP Mail SMTP от WPForms — самый популярный плагин для SMTP и журнала электронной почты;Сделайте доставку электронной почты простой для WordPress. Подключитесь к SMTP, Gmail, Outlook, SendGrid, Mailgun, SES,…;6.4.1
MonsterInsights — панель инструментов Google Analytics для WordPress (удобная статистика веб-сайта);Лучший плагин Google Analytics для WordPress. Узнайте, как посетители находят и используют ваш сайт, чтобы…;6.4.1
All in One SEO — лучший плагин для SEO WordPress: повышайте рейтинг SEO и увеличивайте трафик;Оригинальный SEO-плагин для WordPress. Повысьте свой SEO-рейтинг и увеличьте трафик с помощью комплексных SEO-инструментов и…;6.4.1
Duplicate Page;Дублировать запись, страницу или пользовательскую запись в один клик;6.3.2
Contact Form 7;Ещё один плагин контактных форм. Простой, но гибкий.;6.4.1
Elementor Website Builder — More than Just a Page Builder;В конструкторе сайтов Elementor есть всё: визуальный конструктор страниц работающий на принципе перетащи и вставь,…;6.4.1
Yoast SEO;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью…;6.4.1
Classic Editor;Включает предыдущую «классическую» версию редактора и экран редактирования записей в старом стиле, с TinyMCE, полями…;6.4.1
WooCommerce;Всё, что вам нужно, чтобы запустить интернет-магазин за считанные дни и поддерживать его рост в…;6.4.1
Akismet Anti-Spam: Spam Protection;Лучшая защита от спама для блокировки спам-комментариев и спама в контактной форме. Самое надежное решение…;6.4.1
Контактная форма WPForms — конструктор форм для WordPress с возможностью перетаскивания элементов;Лучший плагин контактных форм для WordPress. Удобный онлайн-конструктор с функцией перетаскивания, позволяющий создавать красивые контактные…;6.3.2
All-in-One WP Migration;Перемещение, перенос, копирование, миграция и резервное копирование сайта одним щелчком мыши. Быстро, просто и надежно.;6.4.1
Really Simple SSL;Самый простой способ повысить безопасность! Используйте свой SSL-сертификат и защитите посетителей своего сайта.;6.4.1
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;Укрепите защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования, WAF и проверки…;6.4.1
Wordfence Security — Firewall, Malware Scan, and Login Security;Брандмауэр, сканер вредоносных программ, двухфакторный аутентификатор и комплексные функции безопасности, поддерживаемые нашей круглосуточной командой. Сделайте…;6.4.1
LiteSpeed Cache;Все в одном — непревзойденное ускорение и улучшение скорости страницы: кэширование, оптимизация изображений/CSS/JS…;6.3.2
Yoast Duplicate Post;Надежный инструмент для клонирования записей и страниц, включая мощную функцию перезаписи и повторной публикации.;6.4.1
Site Kit by Google — Analytics, Search Console, AdSense, Speed;Site Kit — это универсальное решение для пользователей WordPress, позволяющее использовать все, что Google может…;6.4.1
UpdraftPlus: WordPress Backup & Migration Plugin;Backup, restoration and migration — world's most popular backup tool. Backup to the cloud -…;6.4.1
WordPress Importer;Импорт записей, страниц, комментариев, произвольных полей, рубрик, меток и многого другого из файла экспорта WordPress.;6.2.3
